Index,sales id,Customer Id,First Name,Last Name,City,Quantity sold,Vendoor id ,Date ,Country,Phone 1,Phone 2,Email,Website
523,AD001,FfaeFFbbbf280db,Cassidy,Mcmahon,Lake Sherryborough,5,1102,6/22/2024,Myanmar,5040771311,684-682-0021x1326,katrinalane@fitzgerald.com,https://hurst.com/
524,AARE,CbAE1d1e9a8dCb1,Laurie,Pennington,Port Katherineville,6,1103,6/22/2024,Dominica,007.155.3406x553,+1-809-862-5566x277,cookejill@powell.com,http://www.hebert.com/
525,ABC,A7F85c1DE4dB87f,Alejandro,Blair,Thomasland,7,1401,6/22/2024,Iceland,(690)068-4641x51468,555.509.8691x2329,elizabethbarr@ewing.com,https://mercado-blevins.com/
526,ABC,D6CEAfb3BDbaa1A,Leslie,Jennings,Coreybury,2,1101,6/22/2024,Micronesia,629.198.6346,075.256.0829,corey75@wiggins.com,https://www.juarez.com/
527,AD002,Ebdb6F6F7c90b69,Kathleen,Mckay,Lake Janiceton,3,1104,6/22/2024,Saint Vincent and the Grenadines,(733)910-9968,(691)247-4128x0665,chloelester@higgins-wilkinson.com,http://www.owens-mooney.com/
528,AD001,E8E7e8Cfe516ef0,Hunter,Moreno,East Clinton,4,1103,6/22/2024,Isle of Man,(733)833-6754,001-761-013-7121,isaac26@benton-finley.com,http://walls.info/
529,AARE,78C06E9b6B3DF20,Chad,Davidson,South Joshuashire,5,1401,6/22/2024,Oman,8275702958,(804)842-4715,justinwalters@jimenez.com,http://www.garner-oliver.com/
530,AD001,03A1E62ADdeb31c,Corey,Holt,New Glenda,4,1101,6/22/2024,Fiji,001-439-242-4986x7918,3162708934,maurice46@morgan.com,http://www.watson.com/
531,AARE,C6763c99d0bd16D,Emma,Cunningham,North Jillianview,3,1101,6/22/2024,New Zealand,128-059-0206x60217,(312)164-4545x2284,walter83@juarez.org,http://www.reid.info/
532,AD001,ebe77E5Bf9476CE,Duane,Woods,Lyonsberg,2,1201,6/22/2024,Maldives,(636)544-7783x7288,(203)287-1003x5932,kmercer@wagner.com,http://murray.org/
533,AARE,E4Bbcd8AD81fC5f,Alison,Vargas,East Cristinabury,2,1102,6/22/2024,Benin,365-273-8144,053-308-7653x6287,vcantu@norton.com,http://mason.info/
534,AD001,efeb73245CDf1fF,Vernon,Kane,Thomasfurt,2,1103,6/22/2024,Yemen,114-854-1159x555,499-608-4612,hilljesse@barrett.info,http://www.duffy-hensley.net/
535,AARE,37Ec4B395641c1E,Lori,Flowers,North Joeburgh,4,1401,6/22/2024,Namibia,679.415.1210,945-842-3659x4581,tyrone77@valenzuela.info,http://www.deleon-crosby.com/
536,AD001,5ef6d3eefdD43bE,Nina,Chavez,Cassidychester,7,1101,6/22/2024,Bhutan,053-344-3205,+1-330-920-5422x571,elliserica@frank.com,https://www.pugh.com/
537,AARE,98b3aeDcC3B9FF3,Shane,Foley,South Dannymouth,5,1104,6/22/2024,Hungary,-1692,001-626-114-5844x55073,nsteele@sparks.com,https://www.holt-sparks.com/
538,AD001,aAb6AFc7AfD0fF3,Collin,Ayers,South Lonnie,4,1103,6/22/2024,Anguilla,404-645-5351x012,001-257-582-8850x8516,dudleyemily@gonzales.biz,http://www.ruiz.com/
539,AARE,54B5B5Fe9F1B6C5,Sherry,Young,Frankchester,3,1401,6/22/2024,Solomon Islands,158-687-1764,(438)375-6207x003,alan79@gates-mclaughlin.com,https://travis.net/
540,ASC,BE91A0bdcA49Bbc,Darrell,Douglas,Daisyborough,2,1101,6/22/2024,Mali,001-084-845-9524x1777,001-769-564-6303,grayjean@lowery-good.com,https://banks.biz/
541,AD002,cb8E23e48d22Eae,Karl,Greer,East Richard,1,1101,6/22/2024,Guyana,(188)169-1674x58692,001-841-293-3519x614,hhart@jensen.com,http://hayes-perez.com/
542,AD001,CeD220bdAaCfaDf,Lynn,Atkinson,New Bradview,3,1201,6/22/2024,Sri Lanka,-3769,605.413.3198,vkemp@ferrell.com,https://novak-allison.com/
543,AARE,28CDbC0dFe4b1Db,Fred,Guerra,Ortegaland,4,1102,6/22/2024,Solomon Islands,+1-753-067-8419x7170,+1-632-666-7507x92121,swagner@kane.org,https://www.ross.com/
544,AD001,c23d1D9EE8DEB0A,Yvonne,Farmer,Lake Elijahview,5,1103,6/22/2024,Aruba,(530)311-9786,001-869-452-0943x12424,mccarthystephen@horn-green.biz,http://watkins.info/
545,AARE,2354a0E336A91A1,Clarence,Haynes,Judymouth,6,1401,6/22/2024,Honduras,(753)813-6941,783.639.1472,colleen91@faulkner.biz,http://www.hatfield-saunders.net/
546,AD001,ZC68FD1D3B11111,Amar,Good,Erikaville,7,1101,6/22/2024,Canada,6977745822,855-436-7641,alex06@galloway.com,http://conway.org/
547,AARE,ZBCd2Ac8E322222,parth,Buck,Nicolasfort,8,1104,6/22/2024,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,https://ramsey.org/
548,AD001,ZBCd2Ac8E378908,nitin,Buck,Nicolasfort,9,1103,6/22/2024,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,https://ramsey.org/
