Index,sales id,Customer Id,First Name,Last Name,City,Quantity sold,Vendoor id ,Date ,Country,Phone 1,Phone 2,Email,Website
374,AD002,7Ce381e4Afa4ba9,Gabriel,Mejia,Port Annatown,6,1103,6/22/2024,Liechtenstein,4077245425,646.044.0696x66800,coleolson@jennings.net,https://patel-hanson.info/
376,XYZ,A09AEc6E3bF70eE,Kaitlyn,Santana,New Kaitlyn,6,1401,6/22/2024,United States of America,6303643286,447-710-6202x07313,georgeross@miles.org,http://pham.com/
378,AD002,aA9BAFfBc3710fe,Faith,Moon,West Marthaburgh,6,1101,6/22/2024,Bahamas,+1-586-217-0359x6317,-2419,willistonya@randolph-baker.com,https://spencer-charles.info/
380,XYZ,E11dfb2DB8C9f72,Tammie,Haley,East Teresa,6,1101,6/22/2024,Belize,001-276-734-4113x6087,(430)300-8770,harrisisaiah@jenkins.com,http://evans-simon.com/
382,AD002,889eCf90f68c5Da,Nicholas,Sosa,South Hunter,6,1201,6/22/2024,Uruguay,(661)425-6042,975-998-1519,fwolfe@dorsey.com,https://www.fleming-richards.com/
384,AARE,7a1Ee69F4fF4B4D,Jordan,Gay,South Walter,6,1102,6/22/2024,Solomon Islands,7208417020,8035336772,tiffanydavies@harris-mcfarland.org,http://www.lee.org/
386,AD001,dca4f1D0A0fc5c9,Bruce,Esparza,Poolefurt,6,1103,6/22/2024,Montenegro,559-529-4424,001-625-000-7132x0367,preese@frye-vega.com,http://www.farley.org/
388,AARE,17aD8e2dB3df03D,Sherry,Garza,West John,4,1401,6/22/2024,Poland,001-067-713-6440x158,(978)289-8785x5766,ann48@miller.com,http://spence.com/
390,AD001,2f79Cd309624Abb,Natalie,Gentry,West Darius,3,1101,6/22/2024,Dominican Republic,830.996.8238,499.122.5415,tcummings@fitzpatrick-ashley.com,http://www.dorsey.biz/
392,XYZ12,6e5ad5a5e2bB5Ca,Bryan,Dunn,North Jimstad,2,1104,6/22/2024,Burkina Faso,001-710-802-5565,078.699.8982x13881,woodwardandres@phelps.com,http://www.butler.com/
394,AD002,7E441b6B228DBcA,Wayne,Simpson,East Rebekahborough,2,1103,6/22/2024,Bolivia,(344)156-8632x1869,463-445-3702x38463,barbarapittman@holder.com,https://gillespie-holder.com/
396,AD002,D3fC11A9C235Dc6,Luis,Greer,North Drew,2,1401,6/22/2024,Bulgaria,001-336-025-6849x701,684.698.2911x6092,bstuart@williamson-mcclure.com,https://fletcher-nielsen.com/
398,XYZ,30Dfa48fe5Ede78,Rhonda,Frost,Lake Lindaburgh,2,1101,6/22/2024,Monaco,(127)081-9339,+1-431-028-3337x3492,zkrueger@wolf-chavez.net,http://www.khan.com/
400,AD002,fD780ED8dbEae7B,Joanne,Montes,Gwendolynview,1,1101,6/22/2024,Palau,(897)726-7952,(467)886-9467x5721,juan80@henson.net,http://ochoa.com/
402,AARE,300A40d3ce24bBA,Geoffrey,Guzman,Zimmermanland,5,1201,6/22/2024,Uzbekistan,975.235.8921x269,(983)188-6873,bauercrystal@gay.com,https://decker-kline.com/
404,AD001,283DFCD0Dba40aF,Gloria,Mccall,North Kerriton,5,1102,6/22/2024,Ghana,445-603-6729,001-395-959-4736x4524,bartlettjenna@zuniga-moss.biz,http://burgess-frank.com/
406,AARE,F4Fc91fEAEad286,Brady,Cohen,North Eileenville,4,1103,6/22/2024,United Arab Emirates,741.849.0139x524,+1-028-691-7497x0894,mccalltyrone@durham-rose.biz,http://hammond-barron.com/
408,AD001,80F33Fd2AcebF05,Karan,Patil,Port Sergiofort,4,1401,6/22/2024,Belarus,(530)287-4548x29481,162-234-0249x32790,bobhammond@barry.biz,https://www.burton.com/
410,XYZ,Aa20BDe68eAb0e9,Gerald,Hawkins,New Alberttown,4,1101,6/22/2024,Canada,+1-323-239-1456x96168,(092)508-0269,uwarner@steele-arias.com,https://valenzuela.com/
412,ABB,e898eEB1B9FE22b,Samuel,Crawford,South Jasmine,4,1104,6/22/2024,Algeria,802-242-7457,626.116.9535x8578,xpittman@ritter-carney.net,https://guerrero.org/
414,ABB,faCEF517ae7D8eB,Patricia,Goodwin,Cowanfort,4,1103,6/22/2024,Swaziland,322.549.7139x70040,(111)741-4173,vaughanchristy@lara.biz,http://clark.info/
416,ABB,c09952De6Cda8aA,Stacie,Richard,New Deborah,4,1401,6/22/2024,Madagascar,001-622-948-3641x24810,001-731-168-2893x8891,clinton85@colon-arias.org,https://kim.com/
418,AD002,f3BEf3Be028166f,Robin,West,Wallstown,4,1101,6/22/2024,Ecuador,698.303.4267,001-683-837-7651x525,greenemiranda@zimmerman.com,https://www.mora.com/
420,XYZ,C6F2Fc6a7948a4e,Ralph,Haas,Lake Ellenchester,4,1101,6/22/2024,Palestinian Territory,2239271999,001-962-434-0867x649,goodmancesar@figueroa.biz,http://may.com/
422,AD002,c8FE57cBBdCDcb2,Phyllis,Maldonado,Lake Whitney,4,1201,6/22/2024,Saint Barthelemy,4500370767,001-508-064-6725x017,yhanson@warner-diaz.org,http://www.bernard.com/
424,AARE,B5acdFC982124F2,Danny,Parrish,East Jaredbury,4,1102,6/22/2024,United Arab Emirates,(669)384-8597x8794,506.731.5952x571,howelldarren@house-cohen.com,http://www.parsons-hudson.com/
426,AD001,8c7DdF10798bCC3,Kathy,Hill,Selenabury,4,1103,6/22/2024,South Georgia and the South Sandwich Islands,001-171-716-2175x310,888.625.0654,ncamacho@boone-simmons.org,http://hayden.com/
428,AARE,C681dDd0cc422f7,Kelli,Hardy,Huangfort,4,1401,6/22/2024,Sao Tome and Principe,020.324.2191x2022,424-157-8216,kristopher62@oliver.com,http://www.kidd.com/
430,AD001,a940cE42e035F28,Lynn,Pham,East Pennyshire,4,1101,6/22/2024,Portugal,846.468.6834x611,001-248-691-0006,mpham@rios-guzman.com,https://www.murphy.com/
432,AD002,9Cf5E6AFE0aeBfd,Shelley,Harris,Port Jasminborough,4,1104,6/22/2024,Togo,423.098.0315x8373,+1-386-458-8944x15194,zachary96@mitchell-bryant.org,https://www.ryan.com/
434,AARE,aEcbe5365BbC67D,Eddie,Jimenez,West Kristine,4,1103,6/22/2024,Ethiopia,+1-235-657-1073x6306,(026)401-7353x2417,kristiwhitney@bernard.com,http://cherry.com/
436,AD001,FCBdfCEAe20A8Dc,Chloe,Hutchinson,South Julia,4,1401,6/22/2024,Netherlands,981-544-9452,+1-288-552-4666x060,leah85@sutton-terrell.com,https://mitchell.info/
438,AARE,636cBF0835E10ff,Eileen,Lynch,Helenborough,4,1101,6/22/2024,Liberia,+1-158-951-4131x53578,001-673-779-6713x680,levigiles@vincent.com,http://mckay.com/
440,AD001,fF1b6c9E8Fbf1ff,Fernando,Lambert,Lake Nancy,4,1101,6/22/2024,Lithuania,497.829.9038,3863743398,fisherlinda@schaefer.net,https://www.vang.com/
442,AD002,2A13F74EAa7DA6c,Makayla,Cannon,Georgeport,43,1201,6/22/2024,New Caledonia,001-215-801-6392x46009,027-609-6460,scottcurtis@hurley.biz,http://www.velazquez.net/
444,XYZ,a014Ec1b9FccC1E,Tom,Alvarado,South Sophiaberg,2,1102,6/22/2024,Kiribati,(585)606-2980x2258,730-797-3594x5614,nicholsonnina@montgomery.info,http://odom-massey.com/
446,AD002,421a109cABDf5fa,Virginia,Dudley,Hartbury,2,1103,6/22/2024,French Southern Territories,027.846.3705x14184,+1-439-171-1846x4636,zvalencia@phelps.com,http://hunter-esparza.com/
448,AARE,CC68FD1D3Bbbf22,Riley,Good,Erikaville,2,1401,6/22/2024,Canada,6977745822,855-436-7641,alex06@galloway.com,http://conway.org/
450,AD001,CBCd2Ac8E3eBDF9,Alexandria,Buck,Nicolasfort,2,1101,6/22/2024,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,https://ramsey.org/
452,AARE,Ef859092FbEcC07,Richard,Roth,New Jasmineshire,3,1104,6/22/2024,Morocco,581-440-6539,9857827463,aharper@maddox-townsend.org,https://www.brooks.com/
454,AD001,F560f2d3cDFb618,Candice,Keller,East Summerstad,2,1103,6/22/2024,Zimbabwe,001-927-965-8550x92406,001-243-038-4271x53076,buckleycory@odonnell.net,https://www.lucero.com/
456,AD001,A3F76Be153Df4a3,Anita,Benson,Skinnerport,2,1401,6/22/2024,Russian Federation,874.617.5668x69878,(399)820-6418x0071,angie04@oconnell.com,http://oconnor.com/
458,AARE,D01Af0AF7cBbFeA,Regina,Stein,Raystad,2,1101,6/22/2024,Solomon Islands,001-469-848-0724x4407,001-085-360-4426x00357,zrosario@rojas-hardin.net,http://www.johnston.info/
460,AD001,d40e89dCade7b2F,Debra,Riddle,Colinhaven,3,1101,6/22/2024,United States Virgin Islands,+1-768-182-6014x14336,(303)961-4491,shieldskerry@robles.com,http://kaiser.info/
462,AARE,BF6a1f9bd1bf8DE,Brittany,Zuniga,West Reginald,4,1201,6/22/2024,Kyrgyz Republic,(050)136-9025,001-480-851-2496x0157,mchandler@cochran-huerta.org,http://www.boyle.com/
464,AD001,FfaeFFbbbf280db,Cassidy,Mcmahon,Lake Sherryborough,5,1102,6/22/2024,Myanmar,5040771311,684-682-0021x1326,katrinalane@fitzgerald.com,https://hurst.com/
466,AARE,CbAE1d1e9a8dCb1,Laurie,Pennington,Port Katherineville,6,1103,6/22/2024,Dominica,007.155.3406x553,+1-809-862-5566x277,cookejill@powell.com,http://www.hebert.com/
468,ABC,A7F85c1DE4dB87f,Alejandro,Blair,Thomasland,7,1401,6/22/2024,Iceland,(690)068-4641x51468,555.509.8691x2329,elizabethbarr@ewing.com,https://mercado-blevins.com/
470,ABC,D6CEAfb3BDbaa1A,Leslie,Jennings,Coreybury,2,1101,6/22/2024,Micronesia,629.198.6346,075.256.0829,corey75@wiggins.com,https://www.juarez.com/
472,AD002,Ebdb6F6F7c90b69,Kathleen,Mckay,Lake Janiceton,3,1104,6/22/2024,Saint Vincent and the Grenadines,(733)910-9968,(691)247-4128x0665,chloelester@higgins-wilkinson.com,http://www.owens-mooney.com/
474,AD001,E8E7e8Cfe516ef0,Hunter,Moreno,East Clinton,4,1103,6/22/2024,Isle of Man,(733)833-6754,001-761-013-7121,isaac26@benton-finley.com,http://walls.info/
476,AARE,78C06E9b6B3DF20,Chad,Davidson,South Joshuashire,5,1401,6/22/2024,Oman,8275702958,(804)842-4715,justinwalters@jimenez.com,http://www.garner-oliver.com/
478,AD001,03A1E62ADdeb31c,Corey,Holt,New Glenda,4,1101,6/22/2024,Fiji,001-439-242-4986x7918,3162708934,maurice46@morgan.com,http://www.watson.com/
480,AARE,C6763c99d0bd16D,Emma,Cunningham,North Jillianview,3,1101,6/22/2024,New Zealand,128-059-0206x60217,(312)164-4545x2284,walter83@juarez.org,http://www.reid.info/
482,AD001,ebe77E5Bf9476CE,Duane,Woods,Lyonsberg,2,1201,6/22/2024,Maldives,(636)544-7783x7288,(203)287-1003x5932,kmercer@wagner.com,http://murray.org/
484,AARE,E4Bbcd8AD81fC5f,Alison,Vargas,East Cristinabury,2,1102,6/22/2024,Benin,365-273-8144,053-308-7653x6287,vcantu@norton.com,http://mason.info/
486,AD001,efeb73245CDf1fF,Vernon,Kane,Thomasfurt,2,1103,6/22/2024,Yemen,114-854-1159x555,499-608-4612,hilljesse@barrett.info,http://www.duffy-hensley.net/
488,AARE,37Ec4B395641c1E,Lori,Flowers,North Joeburgh,4,1401,6/22/2024,Namibia,679.415.1210,945-842-3659x4581,tyrone77@valenzuela.info,http://www.deleon-crosby.com/
490,AD001,5ef6d3eefdD43bE,Nina,Chavez,Cassidychester,7,1101,6/22/2024,Bhutan,053-344-3205,+1-330-920-5422x571,elliserica@frank.com,https://www.pugh.com/
492,AARE,98b3aeDcC3B9FF3,Shane,Foley,South Dannymouth,5,1104,6/22/2024,Hungary,-1692,001-626-114-5844x55073,nsteele@sparks.com,https://www.holt-sparks.com/
494,AD001,aAb6AFc7AfD0fF3,Collin,Ayers,South Lonnie,4,1103,6/22/2024,Anguilla,404-645-5351x012,001-257-582-8850x8516,dudleyemily@gonzales.biz,http://www.ruiz.com/
496,AARE,54B5B5Fe9F1B6C5,Sherry,Young,Frankchester,3,1401,6/22/2024,Solomon Islands,158-687-1764,(438)375-6207x003,alan79@gates-mclaughlin.com,https://travis.net/
498,ASC,BE91A0bdcA49Bbc,Darrell,Douglas,Daisyborough,2,1101,6/22/2024,Mali,001-084-845-9524x1777,001-769-564-6303,grayjean@lowery-good.com,https://banks.biz/
500,AD002,cb8E23e48d22Eae,Karl,Greer,East Richard,1,1101,6/22/2024,Guyana,(188)169-1674x58692,001-841-293-3519x614,hhart@jensen.com,http://hayes-perez.com/
502,AD001,CeD220bdAaCfaDf,Lynn,Atkinson,New Bradview,3,1201,6/22/2024,Sri Lanka,-3769,605.413.3198,vkemp@ferrell.com,https://novak-allison.com/
504,AARE,28CDbC0dFe4b1Db,Fred,Guerra,Ortegaland,4,1102,6/22/2024,Solomon Islands,+1-753-067-8419x7170,+1-632-666-7507x92121,swagner@kane.org,https://www.ross.com/
506,AD001,c23d1D9EE8DEB0A,Yvonne,Farmer,Lake Elijahview,5,1103,6/22/2024,Aruba,(530)311-9786,001-869-452-0943x12424,mccarthystephen@horn-green.biz,http://watkins.info/
508,AARE,2354a0E336A91A1,Clarence,Haynes,Judymouth,6,1401,6/22/2024,Honduras,(753)813-6941,783.639.1472,colleen91@faulkner.biz,http://www.hatfield-saunders.net/
510,AD001,ZC68FD1D3B11111,Amar,Good,Erikaville,7,1101,6/22/2024,Canada,6977745822,855-436-7641,alex06@galloway.com,http://conway.org/
512,AARE,ZBCd2Ac8E322222,parth,Buck,Nicolasfort,8,1104,6/22/2024,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,https://ramsey.org/
514,AD001,ZBCd2Ac8E378908,nitin,Buck,Nicolasfort,9,1103,6/22/2024,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,https://ramsey.org/
